"id_player","id_team","player_name","nationality","field_position","age","team_country","team","assists","corners_taken","offsides","dribbles","total_attempts","attempts_on_target","attempts_off_target","blocked","balls_recovered","tackles","tackles_won","tackles_lost","clearance_attempted","X","fouls_committed","fouls_suffered","yellow_cards","red_cards","passing_accuracy...","passes_attempted","passes_completed","crossing_accuracy...","crosses_attempted","crosses_completed","free_kick_taken","goals","inside_area","outside_area","right_foot","left_foot","head","other","penalties_scored","distance_covered.km.h.","top_speed","minutes_played","matches_appareance"
74699,50051,"Luka Modrić","Croatia","Midfielder",39,"Spain","Real Madrid C.F.",1,9,0,1,2,1,1,0,7,4,1,3,1,133,4,1,2,0,87,164,150,7.7,13,1,5,0,0,0,0,0,0,0,0,22.34,29.47,187,4
98023,50138,"Henrikh Mkhitaryan","Armenia","Midfielder",35,"Italy","FC Internazionale Milano",0,0,1,2,6,1,3,2,10,4,2,2,3,273,2,4,1,0,92,123,115,0,1,0,0,0,0,0,0,0,0,0,0,24.9,31.41,177,4
102153,52797,"Vladimír Weiss","Slovakia","Midfielder",34,"Slovakia","ŠK Slovan Bratislava",0,0,0,6,1,0,0,1,6,9,3,6,1,275,2,4,1,0,79,49,39,0,1,0,0,0,0,0,0,0,0,0,0,14.68,32.43,139,2
103335,50124,"Axel Witsel","Belgium","Midfielder",35,"Spain","Atlético de Madrid",0,0,0,1,0,0,0,0,26,7,1,6,6,228,3,1,1,0,90.75,158,145,0,0,0,5,0,0,0,0,0,0,0,0,31.08,30.32,271,4
103806,50138,"Matteo Darmian","Italy","Defender",34,"Italy","FC Internazionale Milano",0,0,0,0,1,0,0,1,4,4,1,3,4,452,1,1,0,0,75.5,34,26,0,0,0,0,0,0,0,0,0,0,0,0,20.21,33.07,165,2
104733,52797,"Guram Kashia","Georgia","Defender",37,"Slovakia","ŠK Slovan Bratislava",0,0,0,0,2,1,0,1,24,5,4,1,19,295,2,2,1,0,83.75,155,134,0,0,0,5,0,0,0,0,0,0,0,0,34.38,31.89,349,4
107044,52797,"Róbert Mak","Slovakia","Midfielder",33,"Slovakia","ŠK Slovan Bratislava",0,1,0,1,2,0,0,2,2,1,0,1,1,510,1,0,0,0,55.67,17,14,0,1,0,0,0,0,0,0,0,0,0,0,5.52,28.25,38,3
108908,2602798,"Daley Blind","Netherlands","Defender",34,"Spain","Girona FC",0,0,0,0,0,0,0,0,1,4,1,3,2,370,2,0,0,0,83,30,25,0,0,0,1,0,0,0,0,0,0,0,0,9.93,28.06,90,1
1902685,52707,"Taras Stepanenko","Ukraine","Midfielder",35,"Ukraine","FC Shakhtar Donetsk",0,0,0,0,0,0,0,0,2,3,1,2,0,216,3,2,1,0,57.34,25,22,0,0,0,0,0,0,0,0,0,0,0,0,10.91,28.97,76,3
1903428,50138,"Marko Arnautović","Austria","Forward",35,"Italy","FC Internazionale Milano",0,0,2,4,3,3,0,0,2,1,1,0,0,454,1,1,0,0,70.5,42,30,0,1,0,0,1,1,0,1,0,0,0,0,14.4,33.16,125,2
1905153,50147,"Ángel Di María","Argentina","Forward",36,"Portugal","SL Benfica",0,4,2,12,7,3,2,2,5,1,0,1,0,388,1,6,0,0,82.5,95,74,41.67,12,5,4,1,1,0,0,1,0,0,1,30.49,31.78,258,4
1905643,52797,"Juraj Kucka","Slovakia","Midfielder",37,"Slovakia","ŠK Slovan Bratislava",0,0,0,4,1,1,0,0,7,0,0,0,4,560,0,2,0,0,75,36,27,0,1,0,2,0,0,0,0,0,0,0,0,10.42,31.62,85,1
1906511,50069,"Milan Rodić","Serbia","Defender",33,"Serbia","FK Crvena Zvezda",0,0,0,0,0,0,0,0,4,1,1,0,7,590,0,1,0,0,78,22,16,0,0,0,2,0,0,0,0,0,0,0,0,10.91,32.09,90,3
1906553,50111,"Stefan Hierländer","Austria","Midfielder",33,"Austria","SK Sturm Graz",0,0,0,0,1,0,1,0,0,0,0,0,0,701,0,0,0,0,83.5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2.86,29.44,9,2
1906768,2602798,"Oriol Romeu","Spain","Midfielder",33,"Spain","Girona FC",0,0,0,0,0,0,0,0,7,7,1,6,2,139,4,1,1,0,90.5,54,48,0,0,0,1,0,0,0,0,0,0,0,0,16.45,29.33,120,2
1909868,50050,"James Forrest","Scotland","Midfielder",33,"Scotland","Celtic FC",1,0,0,0,1,0,0,1,0,0,0,0,0,603,0,1,0,0,33.5,9,6,0,1,0,0,0,0,0,0,0,0,0,0,4.13,33.07,28,2
1909917,50124,"Koke","Spain","Midfielder",32,"Spain","Atlético de Madrid",0,1,0,0,0,0,0,0,19,4,2,2,1,424,1,2,0,0,89.5,212,192,33.34,3,1,6,0,0,0,0,0,0,0,0,37.39,29.43,255,4
50327420,7889,"Virgil van Dijk","Netherlands","Defender",33,"England","Liverpool FC",0,0,0,0,3,2,1,0,21,3,2,1,13,347,2,0,1,0,93.5,284,265,0,0,0,10,1,1,0,0,0,1,0,0,37.76,34.92,360,4
50327423,50080,"Frenkie de Jong","Netherlands","Midfielder",27,"Spain","FC Barcelona",0,0,0,0,2,0,0,2,5,5,1,4,0,240,3,1,0,0,93.67,93,89,0,0,0,0,0,0,0,0,0,0,0,0,14.87,31.07,112,3
50327428,50138,"Stefan De Vrij","Netherlands","Defender",32,"Italy","FC Internazionale Milano",0,0,0,0,1,0,1,0,15,1,1,0,16,431,1,1,1,0,92.67,165,155,0,0,0,6,0,0,0,0,0,0,0,0,27.22,32.03,244,3
250000679,50164,"Kévin Théophile-Catherine","France","Defender",35,"Croatia","GNK Dinamo",0,0,0,0,2,0,1,1,28,5,3,2,25,481,1,0,0,0,82.75,115,98,0,0,0,0,0,0,0,0,0,0,0,0,39.11,31.25,360,4
250002096,50080,"Robert Lewandowski","Poland","Forward",36,"Spain","FC Barcelona",0,0,0,2,13,6,4,3,2,1,0,1,1,168,3,7,0,0,74.25,66,49,0,1,0,0,5,5,0,2,2,0,1,0,35.21,30.59,318,4
250003318,50037,"Thomas Müller","Germany","Forward",35,"Germany","FC Bayern München",1,0,0,0,0,0,0,0,1,1,0,1,0,658,0,0,0,0,72,42,31,66.67,3,2,0,0,0,0,0,0,0,0,0,11.27,31.73,83,3
250004363,50164,"Stefan Ristovski","North Macedonia","Defender",32,"Croatia","GNK Dinamo",2,0,0,1,1,0,1,0,19,6,2,4,7,265,2,5,2,0,78.75,156,124,33.34,9,3,4,0,0,0,0,0,0,0,0,43.66,32.02,360,4
